epoch,mode,type,loss,top_1,raw
1,,train,0.5009,,0.5009
1,,val,0.6827,65.5947,0.6827 65.5947
1,,val_epa,0.6066,66.7779,0.6066 66.7779
2,,train,0.7046,,0.7046
2,,val,0.6754,65.5947,0.6754 65.5947
2,,val_epa,0.5594,67.9612,0.5594 67.9612
3,,train,0.704,,0.704
3,,val,0.6856,65.5947,0.6856 65.5947
3,,val_epa,0.3004,90.2306,0.3004 90.2306
4,,train,0.703,,0.703
4,,val,0.6847,65.5947,0.6847 65.5947
4,,val_epa,0.2663,99.4235,0.2663 99.4235
5,,train,0.7033,,0.7033
5,,val,0.6584,65.5947,0.6584 65.5947
5,,val_epa,0.3647,99.3932,0.3647 99.3932
6,,train,0.7035,,0.7035
6,,val,0.6727,65.5947,0.6727 65.5947
6,,val_epa,0.449,98.1796,0.449 98.1796
7,,train,0.7029,,0.7029
7,,val,0.6625,65.5947,0.6625 65.5947
7,,val_epa,0.6313,68.1432,0.6313 68.1432
8,,train,0.7028,,0.7028
8,,val,0.6534,65.5947,0.6534 65.5947
8,,val_epa,0.6366,67.5364,0.6366 67.5364
9,,train,0.7025,,0.7025
9,,val,0.6633,65.5947,0.6633 65.5947
9,,val_epa,0.7161,31.8265,0.7161 31.8265
10,,train,0.7025,,0.7025
10,,val,0.6617,65.5947,0.6617 65.5947
10,,val_epa,0.6738,68.0218,0.6738 68.0218
11,,train,0.7029,,0.7029
11,,val,0.6625,65.5947,0.6625 65.5947
11,,val_epa,0.661,67.324,0.661 67.324
12,,train,0.7026,,0.7026
12,,val,0.6613,65.5947,0.6613 65.5947
12,,val_epa,0.6631,66.5049,0.6631 66.5049
13,,train,0.7022,,0.7022
13,,val,0.6627,65.5947,0.6627 65.5947
13,,val_epa,0.6667,66.2015,0.6667 66.2015
14,,train,0.702,,0.702
14,,val,0.662,65.5947,0.662 65.5947
14,,val_epa,0.6696,65.6553,0.6696 65.6553
15,,train,0.7023,,0.7023
15,,val,0.6626,65.5947,0.6626 65.5947
15,,val_epa,0.6705,65.443,0.6705 65.443
16,,train,0.7028,,0.7028
16,,val,0.6629,65.5947,0.6629 65.5947
16,,val_epa,0.6686,65.443,0.6686 65.443
17,,train,0.7021,,0.7021
17,,val,0.6617,65.5947,0.6617 65.5947
17,,val_epa,0.6676,65.4126,0.6676 65.4126
18,,train,0.7027,,0.7027
18,,val,0.6642,65.5947,0.6642 65.5947
18,,val_epa,0.6665,65.2913,0.6665 65.2913
19,,train,0.7023,,0.7023
19,,val,0.6641,65.5947,0.6641 65.5947
19,,val_epa,0.6669,64.9575,0.6669 64.9575
20,,train,0.7019,,0.7019
20,,val,0.6641,65.5947,0.6641 65.5947
20,,val_epa,0.6659,64.9575,0.6659 64.9575
